Agent Outbound Messages Send ID,Concierge QA Audit Scores Total Intent Identified Score Count,Concierge QA Audit Scores Total Necessary Reply Score Count,Concierge QA Audit Scores Total Correct Escalation Score Count,Concierge QA Audit Scores Total Double Text Score Count,Concierge QA Audit Scores Total Efficient Troubleshooting Score Count,Concierge QA Audit Scores Total Partial Reply Score Count,Concierge QA Audit Scores Total Company Profile Score Count,Concierge QA Audit Scores Total Conversation Score Count,Concierge QA Audit Scores Total Customer Profile Score Count,Concierge QA Audit Scores Total Notes Score Count,Concierge QA Audit Scores Total Promo Notes Score Count,Concierge QA Audit Scores Total Templates Score Count,Concierge QA Audit Scores Total Correct Grammar Score Count,Concierge QA Audit Scores Total No Repetition Score Count,Concierge QA Audit Scores Total No Typos Score Count,Concierge QA Audit Scores Total Understandable Message Score Count,Concierge QA Audit Scores Total Empathetic Score Count,Concierge QA Audit Scores Total Personalized Score Count,Concierge QA Audit Scores Total Preferred Tone Followed Score Count
019cdad5-c12a-4801-f000-0000d55f6270,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
019d06c3-4ee7-4c53-f000-0000f04cafd9,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
019c4521-1ade-4b43-f000-0000fa51564f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019cf884-6359-47f7-f000-000008880933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019d1157-ce12-419a-f000-000029d3fa29,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c6205-7899-4889-f000-000087ae0705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c34a6-5418-4c22-f000-000065252967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bc7e6-6fc7-4cdc-f000-0000f0d017ea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019bbd39-ca25-4d6e-f000-0000d52b5b40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019b9508-f45a-4a99-f000-0000f0918943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019cd8a8-6436-4fd9-f000-0000f6564ee5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c5e8f-4ecd-4e9b-f000-0000fb88382e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c0c50-8d44-420a-f000-000022a2323d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019c2e28-5d10-4b26-f000-0000945c9d69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
019ce7e7-9d2c-4741-f000-000100eb3d86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
